Datum,aktiv_fertozott,Elhunyt,gyogyul,osszesen,aktiv_fertozott_valtozaa,napi_uj_elhunyt,napi_uj_gyogyult,napi_uj_fertozott,days,weekend
04/03/2020,2,0,0,2,2,0,0,2,szerda,no
05/03/2020,4,0,0,4,2,0,0,2,csütörtök,no
06/03/2020,4,0,0,4,0,0,0,0,péntek,no
07/03/2020,5,0,0,5,1,0,0,1,szombat,yes
08/03/2020,7,0,0,7,2,0,0,2,vasárnap,yes
09/03/2020,9,0,0,9,2,0,0,2,hétfő,no
10/03/2020,12,0,0,12,3,0,0,3,kedd,no
11/03/2020,13,0,0,13,1,0,0,1,szerda,no
12/03/2020,15,0,1,16,2,0,1,3,csütörtök,no
13/03/2020,18,0,1,19,3,0,0,3,péntek,no
14/03/2020,29,0,1,30,11,0,0,11,szombat,yes
15/03/2020,30,1,1,32,1,1,0,2,vasárnap,yes
16/03/2020,36,1,2,39,6,0,1,7,hétfő,no
17/03/2020,47,1,2,50,11,0,0,11,kedd,no
18/03/2020,55,1,2,58,8,0,0,8,szerda,no
19/03/2020,70,1,2,73,15,0,0,15,csütörtök,no
20/03/2020,74,4,7,85,4,3,5,12,péntek,no
21/03/2020,92,4,7,103,18,0,0,18,szombat,yes
22/03/2020,109,6,16,131,17,2,9,28,vasárnap,yes
23/03/2020,138,8,21,167,29,2,5,36,hétfő,no
24/03/2020,157,9,21,187,19,1,0,20,kedd,no
25/03/2020,195,10,21,226,38,1,0,39,szerda,no
26/03/2020,223,10,28,261,28,0,7,35,csütörtök,no
27/03/2020,256,10,34,300,33,0,6,39,péntek,no
28/03/2020,298,11,34,343,42,1,0,43,szombat,yes
29/03/2020,361,13,34,408,63,2,0,65,vasárnap,yes
30/03/2020,398,15,34,447,37,2,0,39,hétfő,no
31/03/2020,439,16,37,492,41,1,3,45,kedd,no
01/04/2020,465,20,40,525,26,4,3,33,szerda,no
02/04/2020,522,21,42,585,57,1,2,60,csütörtök,no
03/04/2020,554,26,43,623,32,5,1,38,péntek,no
04/04/2020,588,32,58,678,34,6,15,55,szombat,yes
05/04/2020,633,34,66,733,45,2,8,55,vasárnap,yes
06/04/2020,639,38,67,744,6,4,1,11,hétfő,no
07/04/2020,699,47,71,817,60,9,4,73,kedd,no
08/04/2020,743,58,94,895,44,11,23,78,szerda,no
09/04/2020,818,66,96,980,75,8,2,85,csütörtök,no
10/04/2020,1001,77,112,1190,183,11,16,210,péntek,no
