year,mean_temperature,precipitation,number_of_rainy_days,sunshine_duration_per_global_radiation,number_of_frosty_days,number_of_heat_days,number_of_hot_flash_days,location
1901,10,604,186,..,105,11,3,Hungary
1902,9,622,176,..,113,13,0,Hungary
1903,10,628,173,..,88,12,2,Hungary
1904,10,523,162,..,105,25,2,Hungary
1905,10,640,176,..,111,30,8,Hungary
1906,10,675,175,..,115,14,0,Hungary
1907,9,494,159,..,121,13,0,Hungary
1908,9,527,155,..,134,17,1,Hungary
1909,10,608,172,..,108,12,0,Hungary
1910,10,719,180,..,85,11,0,Hungary
1911,10,504,152,..,95,22,4,Hungary
1912,9,706,188,..,107,7,0,Hungary
1913,9,651,158,..,111,3,0,Hungary
1914,9,684,161,..,96,5,0,Hungary
1915,10,824,201,..,90,7,0,Hungary
1916,11,655,186,..,66,11,1,Hungary
1917,10,458,156,..,112,29,4,Hungary
1918,10,626,176,..,101,15,0,Hungary
1919,9,709,207,..,88,6,0,Hungary
1920,10,590,163,..,104,13,0,Hungary
1921,10,465,135,..,107,25,9,Hungary
1922,9,673,161,..,117,19,2,Hungary
1923,10,605,162,..,76,14,1,Hungary
1924,9,577,148,..,128,9,1,Hungary
1925,10,716,164,..,104,5,0,Hungary
1926,11,678,164,..,83,3,0,Hungary
1927,10,670,159,..,98,27,4,Hungary
1928,10,535,143,..,108,35,7,Hungary
1929,9,569,140,..,114,30,5,Hungary
1930,11,666,153,..,91,22,2,Hungary
1931,9,603,155,..,133,30,3,Hungary
1932,10,516,131,..,123,30,3,Hungary
1933,9,670,162,..,110,15,3,Hungary
1934,11,512,139,..,78,15,0,Hungary
1935,10,510,154,..,109,22,2,Hungary
1936,10,730,172,..,75,16,3,Hungary
1937,11,795,186,..,84,15,0,Hungary
1938,10,601,160,..,98,24,6,Hungary
1939,10,669,157,..,93,20,5,Hungary
1940,8,838,181,..,130,3,0,Hungary
1941,9,675,181,..,105,7,1,Hungary
1942,9,533,147,..,123,24,0,Hungary
1943,10,575,139,..,113,24,6,Hungary
1944,10,781,175,..,105,13,0,Hungary
1945,10,552,156,..,101,22,3,Hungary
1946,11,492,144,..,100,41,11,Hungary
1947,10,470,160,..,106,36,4,Hungary
1948,10,610,150,..,99,17,3,Hungary
1949,11,579,138,..,96,17,0,Hungary
1950,11,627,148,..,90,36,9,Hungary
1951,11,696,152,..,79,21,1,Hungary
1952,10,717,163,..,117,36,11,Hungary
1953,10,545,119,..,112,11,0,Hungary
1954,9,679,156,..,99,14,0,Hungary
1955,10,760,165,..,106,3,0,Hungary
1956,9,581,139,..,129,12,1,Hungary
1957,10,602,132,..,99,19,8,Hungary
1958,10,610,145,..,101,21,3,Hungary
1959,10,595,131,..,93,9,2,Hungary
1960,10,702,160,..,71,7,0,Hungary
1961,11,477,115,2 190,83,19,4,Hungary
1962,9,552,140,1 950,121,21,2,Hungary
1963,9,656,145,2 118,116,24,7,Hungary
1964,9,659,143,1 924,107,17,1,Hungary
1965,9,808,167,1 969,118,8,0,Hungary
1966,11,739,157,1 965,82,6,0,Hungary
1967,11,529,131,2 182,100,23,8,Hungary
1968,11,523,132,2 010,106,17,9,Hungary
1969,10,666,151,1 847,109,10,2,Hungary
1970,10,698,170,1 719,104,10,0,Hungary
1971,10,441,131,1 929,95,19,2,Hungary
1972,10,639,146,1 754,80,15,1,Hungary
1973,10,493,124,1 983,116,14,0,Hungary
1974,10,732,158,1 774,67,16,4,Hungary
1975,11,608,133,1 945,98,5,0,Hungary
1976,10,586,143,1 912,108,11,0,Hungary
1977,10,577,138,1 924,87,7,0,Hungary
1978,9,556,150,1 763,100,2,0,Hungary
1979,10,617,156,1 969,84,14,1,Hungary
1980,9,677,158,1 739,108,5,0,Hungary
1981,10,574,144,1 953,100,15,0,Hungary
1982,10,555,130,1 935,94,14,0,Hungary
1983,11,460,125,2 035,95,25,1,Hungary
1984,10,603,153,1 792,103,10,1,Hungary
1985,9,625,151,1 982,100,16,2,Hungary
1986,10,488,124,2 118,117,21,0,Hungary
1987,9,637,145,1 961,97,18,5,Hungary
1988,10,545,140,2 032,105,22,6,Hungary
1989,11,564,128,1 876,88,13,3,Hungary
1990,11,496,131,2 117,83,21,0,Hungary
1991,10,627,133,1 887,101,16,2,Hungary
1992,11,489,125,2 104,93,34,13,Hungary
1993,10,528,140,2 004,115,26,2,Hungary
1994,12,530,140,2 047,72,40,15,Hungary
1995,10,682,152,1 921,99,25,1,Hungary
1996,9,676,158,1 842,112,13,2,Hungary
1997,10,530,136,2 111,115,7,0,Hungary
1998,10,726,142,2 029,102,25,7,Hungary
1999,11,800,146,1 972,103,11,1,Hungary
2000,12,423,121,2 269,83,34,11,Hungary
2001,10,614,141,1 969,96,22,2,Hungary
2002,11,547,147,1 932,79,26,8,Hungary
2003,10,464,114,2 312,118,50,6,Hungary
2004,10,689,150,1 948,94,14,3,Hungary
2005,10,732,145,2 062,117,13,4,Hungary
2006,10,582,140,2 045,95,30,7,Hungary
